sentence,lv3,lv4,lv7_1,lv7_2
R~C구간 집목 [C등급]  ,토공,IC/JC,토공기타,토공기타
R~C구간 집목 [C등급]  시험,토공,IC/JC,토공기타,토공기타
 R~C구간 벌목 및 집목[C등급],토공,IC/JC,토공기타,토공기타
 R~C구간 벌목 및 집목[C등급],토공,IC/JC,토공기타,토공기타
 R~C구간 벌목 및 집목[C등급],토공,IC/JC,토공기타,토공기타
 R~C구간 벌목 및 집목[C등급],토공,IC/JC,토공기타,토공기타
 R~C구간 벌목 및 집목[C등급],토공,IC/JC,토공기타,토공기타
 R~C구간 벌목 및 집목[C등급],토공,IC/JC,토공기타,토공기타
 R~C구간 벌목 및 집목[C등급],토공,IC/JC,토공기타,토공기타
 R~C구간 벌목 및 집목[C등급],토공,IC/JC,토공기타,토공기타
 R~C구간 벌목 및 집목[C등급],토공,IC/JC,토공기타,토공기타
 R~C구간 벌목 및 집목[C등급],토공,IC/JC,토공기타,토공기타
 R~C구간 벌목 및 집목[C등급]  진입로 개설[C등급],토공,IC/JC,토공기타,토공기타
 R~C구간 벌목 및 집목[C등급]  진입로 개설[C등급],토공,IC/JC,토공기타,토공기타
 R~C구간 벌목 및 집목[C등급]  진입로 개설[C등급],토공,IC/JC,토공기타,토공기타
 R~C 0+700~0+800 진입로 개설[B등급],토공,IC/JC,토공기타,토공기타
 R~C 0+700~0+800 진입로 개설[B등급],토공,IC/JC,토공기타,토공기타
 R~C 0+700~0+800 진입로 개설[B등급],토공,IC/JC,토공기타,토공기타
 R~C 노체 성토 및 다짐[B등급],토공,IC/JC,흙쌓기,노체
 R~C 노체 성토 및 다짐[B등급],토공,IC/JC,흙쌓기,노체
 R~C 노체 성토 및 다짐[B등급],토공,IC/JC,흙쌓기,노체
 R~C 노체 성토 및 다짐[B등급],토공,IC/JC,흙쌓기,노체
 R~C 노체 성토 및 다짐[B등급],토공,IC/JC,흙쌓기,노체
 R~C 노체 성토 및 다짐[B등급],토공,IC/JC,흙쌓기,노체
 R~C 노체 성토 및 다짐[B등급],토공,IC/JC,흙쌓기,노체
 R~C 노체 성토 및 다짐[B등급],토공,IC/JC,흙쌓기,노체
 R~C 노체 쌓기[B등급],토공,IC/JC,흙쌓기,노체
 R~C 노체 쌓기[B등급],토공,IC/JC,흙쌓기,노체
 R~C 깍기[B등급],토공,IC/JC,흙깎기,흙깍기기타
 R~C 깍기[B등급],토공,IC/JC,흙깎기,흙깍기기타
 R~C 깍기[B등급],토공,IC/JC,흙깎기,흙깍기기타
 R~C 깍기[B등급],토공,IC/JC,흙깎기,흙깍기기타
 R~C 깍기[B등급],토공,IC/JC,흙깎기,흙깍기기타
 R~C 노체 쌓기[B등급],토공,IC/JC,흙쌓기,노체
 R~C 노체 쌓기[B등급],토공,IC/JC,흙쌓기,노체
 R~C 노체 쌓기[B등급],토공,IC/JC,흙쌓기,노체
 R~C 노체 쌓기[B등급],토공,IC/JC,흙쌓기,노체
